"","lat","lon"
"331",39.199682456,-74.668126194
"332",39.199682456,-74.667126194
"333",39.199682456,-74.666126194
"334",39.199682456,-74.665126194
"335",39.199682456,-74.664126194
"336",39.199682456,-74.663126194
"337",39.199682456,-74.662126194
"338",39.199682456,-74.661126194
"339",39.199682456,-74.660126194
"340",39.199682456,-74.659126194
"341",39.199682456,-74.658126194
"342",39.199682456,-74.657126194
"343",39.199682456,-74.656126194
"344",39.199682456,-74.655126194
"345",39.199682456,-74.654126194
"346",39.199682456,-74.653126194
"347",39.199682456,-74.652126194
"348",39.199682456,-74.651126194
"349",39.199682456,-74.650126194
"350",39.198682456,-74.998126194
"351",39.198682456,-74.997126194
"352",39.198682456,-74.996126194
"353",39.198682456,-74.995126194
"354",39.198682456,-74.994126194
"355",39.198682456,-74.993126194
"356",39.198682456,-74.992126194
"357",39.198682456,-74.991126194
"358",39.198682456,-74.990126194
"359",39.198682456,-74.989126194
"360",39.198682456,-74.988126194
"361",39.198682456,-74.987126194
"362",39.198682456,-74.986126194
"363",39.198682456,-74.985126194
"364",39.198682456,-74.984126194
"365",39.198682456,-74.983126194
"366",39.198682456,-74.982126194
"367",39.198682456,-74.981126194
"368",39.198682456,-74.980126194
"369",39.198682456,-74.979126194
"370",39.198682456,-74.978126194
"371",39.198682456,-74.977126194
"372",39.198682456,-74.976126194
"373",39.198682456,-74.975126194
"374",39.198682456,-74.974126194
"375",39.198682456,-74.973126194
"376",39.198682456,-74.972126194
"377",39.198682456,-74.971126194
"378",39.198682456,-74.970126194
"379",39.198682456,-74.969126194
"380",39.198682456,-74.968126194
"381",39.198682456,-74.967126194
"382",39.198682456,-74.966126194
"383",39.198682456,-74.965126194
"384",39.198682456,-74.964126194
"385",39.198682456,-74.963126194
"386",39.198682456,-74.962126194
"387",39.198682456,-74.961126194
"388",39.198682456,-74.960126194
"389",39.198682456,-74.959126194
"390",39.198682456,-74.958126194
"391",39.198682456,-74.957126194
"392",39.198682456,-74.956126194
"393",39.198682456,-74.955126194
"394",39.198682456,-74.954126194
"395",39.198682456,-74.953126194
"396",39.198682456,-74.952126194
"397",39.198682456,-74.951126194
"398",39.198682456,-74.950126194
"399",39.198682456,-74.949126194
"400",39.198682456,-74.948126194
"401",39.198682456,-74.947126194
"402",39.198682456,-74.946126194
"403",39.198682456,-74.945126194
"404",39.198682456,-74.944126194
"405",39.198682456,-74.943126194
"406",39.198682456,-74.942126194
"407",39.198682456,-74.941126194
"408",39.198682456,-74.940126194
"409",39.198682456,-74.939126194
"410",39.198682456,-74.938126194
"411",39.198682456,-74.937126194
"412",39.198682456,-74.936126194
"413",39.198682456,-74.935126194
"414",39.198682456,-74.934126194
"415",39.198682456,-74.933126194
"416",39.198682456,-74.932126194
"417",39.198682456,-74.931126194
"418",39.198682456,-74.930126194
"419",39.198682456,-74.929126194
"420",39.198682456,-74.928126194
"421",39.198682456,-74.927126194
"422",39.198682456,-74.926126194
"423",39.198682456,-74.925126194
"424",39.198682456,-74.924126194
"425",39.198682456,-74.923126194
"426",39.198682456,-74.922126194
"427",39.198682456,-74.921126194
"428",39.198682456,-74.920126194
"429",39.198682456,-74.919126194
"430",39.198682456,-74.918126194
"431",39.198682456,-74.917126194
"432",39.198682456,-74.916126194
"433",39.198682456,-74.915126194
"434",39.198682456,-74.914126194
"435",39.198682456,-74.913126194
"436",39.198682456,-74.912126194
"437",39.198682456,-74.911126194
"438",39.198682456,-74.910126194
"439",39.198682456,-74.909126194
"440",39.198682456,-74.908126194
"441",39.198682456,-74.907126194
"442",39.198682456,-74.906126194
"443",39.198682456,-74.905126194
"444",39.198682456,-74.904126194
"445",39.198682456,-74.903126194
"446",39.198682456,-74.902126194
"447",39.198682456,-74.901126194
"448",39.198682456,-74.900126194
"449",39.198682456,-74.899126194
"450",39.198682456,-74.898126194
"451",39.198682456,-74.897126194
"452",39.198682456,-74.896126194
"453",39.198682456,-74.895126194
"454",39.198682456,-74.894126194
"455",39.198682456,-74.893126194
"456",39.198682456,-74.892126194
"457",39.198682456,-74.891126194
"458",39.198682456,-74.890126194
"459",39.198682456,-74.889126194
"460",39.198682456,-74.888126194
"461",39.198682456,-74.887126194
"462",39.198682456,-74.886126194
"463",39.198682456,-74.885126194
"464",39.198682456,-74.884126194
"465",39.198682456,-74.883126194
"466",39.198682456,-74.882126194
"467",39.198682456,-74.881126194
"468",39.198682456,-74.880126194
"469",39.198682456,-74.879126194
"470",39.198682456,-74.878126194
"471",39.198682456,-74.877126194
"472",39.198682456,-74.876126194
"473",39.198682456,-74.875126194
"474",39.198682456,-74.874126194
"475",39.198682456,-74.873126194
"476",39.198682456,-74.872126194
"477",39.198682456,-74.871126194
"478",39.198682456,-74.870126194
"479",39.198682456,-74.869126194
"480",39.198682456,-74.868126194
"481",39.198682456,-74.867126194
"482",39.198682456,-74.866126194
"483",39.198682456,-74.865126194
"484",39.198682456,-74.864126194
"485",39.198682456,-74.863126194
"486",39.198682456,-74.862126194
"487",39.198682456,-74.861126194
"488",39.198682456,-74.860126194
"489",39.198682456,-74.859126194
"490",39.198682456,-74.858126194
"491",39.198682456,-74.857126194
"492",39.198682456,-74.856126194
"493",39.198682456,-74.855126194
"494",39.198682456,-74.854126194
"495",39.198682456,-74.853126194
"496",39.198682456,-74.852126194
"497",39.198682456,-74.851126194
"498",39.198682456,-74.850126194
"499",39.198682456,-74.849126194
"500",39.198682456,-74.848126194
"501",39.198682456,-74.847126194
"502",39.198682456,-74.846126194
"503",39.198682456,-74.845126194
"504",39.198682456,-74.844126194
"505",39.198682456,-74.843126194
"506",39.198682456,-74.842126194
"507",39.198682456,-74.841126194
"508",39.198682456,-74.840126194
"509",39.198682456,-74.839126194
"510",39.198682456,-74.838126194
"511",39.198682456,-74.837126194
"512",39.198682456,-74.836126194
"513",39.198682456,-74.835126194
"514",39.198682456,-74.834126194
"515",39.198682456,-74.833126194
"516",39.198682456,-74.832126194
"517",39.198682456,-74.831126194
"518",39.198682456,-74.830126194
"519",39.198682456,-74.829126194
"520",39.198682456,-74.828126194
"521",39.198682456,-74.827126194
"522",39.198682456,-74.826126194
